"Id","Code","Name","Deliverable","Owner","Priority","Phase","Status","Source"
"36a77291-449d-81ac-a034-f9bf08d35973","ADMIN.01","[ADMIN.01] Admin control plane + AI usage oversight","Admin runtime/control plane, AI quota overview, Gemini key state and bootstrap visibility","Lê Chí Tường","P1 (High)","P3 — Ổn định Nền tảng","Hoàn thành","Commit Evidence"
"36a77291-449d-81ed-9eab-c672908c7faf","AI-001","[AI] Configurable detection threshold — env var","YOLO_CONFIDENCE_THRESHOLD env var (default 0.50), test với 0.35-0.40 cho Vietnamese foods","","P2 (Medium)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-81e9-ba2b-dae3f9dfdf74","AI-005","[AI] Graceful Gemini degradation + fallback UI","Khi GeminiQuotaExhausted → show formula result + badge, offline fallback → manual entry form","","P1 (High)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-81f7-8364-f41c1a3e5329","AI-009","[AI] Hide voice recording UI — STT disabled on cloud","Ẩn nút microphone trên VoiceScreen, chỉ show text input. Tránh user confusion","","P2 (Medium)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-819c-8064-ecfb098f9fe6","AI-PROVIDER.01","[AI-PROVIDER.01] YOLO/ONNX provider inference and model deployment","AI provider moved through ONNX optimization, model packaging/deploy, memory/input-size fixes","Lê Chí Tường","P0 (Critical)","P4 — Nâng cấp AI & Pro","Hoàn thành","Commit Evidence"
"36a77291-449d-816b-aae7-d1adc90a9801","AI-SCAN.01","[AI-SCAN.01] AI Scan review, macro mapping, multi-dish recovery","AI Scan review/replace flow, Vietnamese labels, macro estimate mapping, multi-dish recovery","Cả hai","P0 (Critical)","P4 — Nâng cấp AI & Pro","Hoàn thành","Commit Evidence"
"36a77291-449d-8129-939c-c48b11fec260","AUTH-001","[AUTH] Password reset codes → database persistence","Chuyển reset code từ IMemoryCache → DB table PasswordResetCode, survive restart/scale","","P1 (High)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-817b-9688-c8bd1414b69a","AUTH-002","[AUTH] Rate limit auth endpoints — brute-force protection","Rate limiting cho forgot-password, resend-verification: 5 req/min per IP","","P1 (High)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-8147-835d-ef7a063dc970","AUTH-003","[SEC] Remove legacy Google Auth GET route","Xóa AuthController.GoogleLogin (GET, token lộ URL). Chỉ giữ GoogleAuthController.SignIn (POST)","","P1 (High)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-819b-95d3-eb2be0c4e220","AUTH.01","[AUTH.01] Auth continuity, Google OAuth, password reset","Register/login/Google OAuth/password reset/session refresh production path","Cả hai","P0 (Critical)","P3 — Ổn định Nền tảng","Hoàn thành","Commit Evidence"
"36a77291-449d-8166-9457-fa688cbbd049","BARCODE.01","[BARCODE.01] Barcode scanner and packaged food lookup","Barcode scan pipeline, duplicate check, backend persistence, Open Food Facts fallback","Cả hai","P2 (Medium)","P4 — Nâng cấp AI & Pro","Hoàn thành","Commit Evidence"
"36a77291-449d-81a1-849b-ccaa84ae9c05","CLOUD-001","[CLOUD] External health ping — UptimeRobot setup","UptimeRobot config ping /health/live + /healthz mỗi 14 phút, alert webhook","","P0 (Critical)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-81f6-9f36-fdff1cb356bb","CLOUD-004","[CLOUD] Cold start optimization — lazy model load","YOLOv8 lazy loading khi request đầu tiên, Gunicorn preload config, Backend startup warmup","","P1 (High)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-81be-8968-e42e369ed937","CLOUD-007","[CLOUD] Database connection — session mode port 5432","Connection string chuẩn hóa port 5432 session mode, EnableRetryOnFailure, health readiness check thật","","P1 (High)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-814b-a9ac-fdad594907bc","CLOUD-010","[CLOUD] Fix render.yaml — Smtp → Brevo mapping","render.yaml đổi Smtp__ → Brevo__ env vars, email hoạt động nếu Render recreate","","P1 (High)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-8174-82a9-e452113ab6e6","CLOUD-READINESS.01","[CLOUD-READINESS.01] Cloud readiness, health checks, bootstraps","Backend readiness, schema bootstrap, health endpoints, Supabase/readiness boundaries","Cả hai","P0 (Critical)","P3 — Ổn định Nền tảng","Hoàn thành","Commit Evidence"
"36a77291-449d-8164-8b80-c81667285525","DAILY-LOOP.01","[DAILY-LOOP.01] Daily nutrition loop + AI traffic route metrics","Daily nutrition loop and AI feature traffic route measurement","Cả hai","P1 (High)","P4 — Nâng cấp AI & Pro","Hoàn thành","Commit Evidence"
"36a77291-449d-817d-9960-ce6d41d087ab","DATASET.01","[DATASET.01] Vietnamese food dataset and YOLO training pipeline","Dataset audit/build/train pipeline for Vietnamese food recognition and model evidence","Lê Chí Tường","P1 (High)","P5 — Kiểm thử & Đánh giá","Hoàn thành","Commit Evidence"
"36a77291-449d-815d-bea4-da033aab3cb3","DEPLOY-MOBILE.01","[DEPLOY-MOBILE.01] Android build config, Firebase, release credentials","Android release/dev target, Firebase config, signing identities, preview install/build lanes","Cả hai","P1 (High)","P5 — Kiểm thử & Đánh giá","Hoàn thành","Commit Evidence"
"36a77291-449d-81a3-ae1d-cbad16dd473e","DIETARY-FILTER.01","[DIETARY-FILTER.01] Dietary restrictions in food/recipe search","Food preference filters applied to search and recipe suggestions with tests","Cả hai","P2 (Medium)","P5 — Kiểm thử & Đánh giá","Hoàn thành","Commit Evidence"
"36a77291-449d-8183-8c96-c3647c3e1e20","DOC-001","[DOC] Documentation cleanup + archive stale docs","Move 3 docs to archive, fix 7 absolute paths, mark 3 SUPERSEDED, update ARCHITECTURE + AI_FLOW","","P2 (Medium)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-81fd-a95a-ef389ecc5217","FEAT-001","[FEAT] Barcode Scanner — expo-camera + Open Food Facts","expo-camera barcode, backend /api/food/barcode/{ean}, Open Food Facts API, cache, scan history","","P1 (High)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-8197-9f50-fd9694aa2965","FEAT-006","[FEAT] Data Export — CSV diary + macros","GET /api/summary/export?format=csv, React Native Share API, Profile > Xuất dữ liệu button","","P2 (Medium)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-81ab-8192-f66fd93dac4d","FEAT-008","[FEAT] Weekly digest + streak recovery + achievements","Push notification cuối tuần, streak freeze 1x/tuần, achievement milestones (100 meals, 30 days)","","P2 (Medium)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-81c7-b1d7-c0fe9acc49a7","FEAT-011","[FEAT] Quick logging — recent foods + common meals + copy meal","10 recent foods, favorites re-log, common meal combos, Same as yesterday button","","P2 (Medium)","P4 — Nâng cấp AI & Pro","Hoàn thành",""
"36a77291-449d-81a7-b2e1-d69da8ee2e4d","FOOD-SEARCH.01","[FOOD-SEARCH.01] Food search reliability + server-side contract","Food search moved to reliable server-side path with recovery UX and diary add readback","Cả hai","P0 (Critical)","P3 — Ổn định Nền tảng","Hoàn thành","Commit Evidence"
"36a77291-449d-814c-bf7b-e81d7013ea00","HOME-DIARY.01","[HOME-DIARY.01] Home dashboard + diary quick action stabilization","Home dashboard, diary summary, quick actions, diary readback flow stabilized","Đinh Công Hiếu","P1 (High)","P3 — Ổn định Nền tảng","Hoàn thành","Commit Evidence"
"36a77291-449d-81b8-8cee-f2a7104bc51b","I18N-ENCODING.01","[I18N-ENCODING.01] Vietnamese text and mojibake safety","Vietnamese text restored/preserved across backend/mobile UI and tests","Cả hai","P0 (Critical)","P3 — Ổn định Nền tảng","Hoàn thành","Commit Evidence"
"36a77291-449d-81df-b6c4-d8f7f89e85b9","MEDIA-R2.01","[MEDIA-R2.01] R2 media storage and signed URL hardening","Media egress strategy, R2 upload/catalog migration, presigned URL flow, leak prevention","Lê Chí Tường","P0 (Critical)","P3 — Ổn định Nền tảng","Hoàn thành","Commit Evidence"
"36a77291-449d-81ca-9d82-fa70844f9ff3","MOCHI.01","[MOCHI.01] MoChi assistant surfaces, tutorial, notifications","MoChi room/sprites/tutorial/quick actions/notification coordination polished","Đinh Công Hiếu","P2 (Medium)","P4 — Nâng cấp AI & Pro","Hoàn thành","Commit Evidence"
"36a77291-449d-8194-b5df-dff5fce23284","NOTIFICATIONS.01","[NOTIFICATIONS.01] Notifications center ordering and deletion logic","Notification center order, delete behavior, inbox coordination, quickstart messaging","Đinh Công Hiếu","P2 (Medium)","P3 — Ổn định Nền tảng","Hoàn thành","Commit Evidence"
"36a77291-449d-8187-a61c-f821f609c505","NUTRITION.01","[NUTRITION.01] Production nutrition data hardening","Production nutrition macro seed/audit/index guardrails and calculator reliability","Cả hai","P0 (Critical)","P4 — Nâng cấp AI & Pro","Hoàn thành","Commit Evidence"
"36a77291-449d-81a8-b5ba-c19ee7e2c5b3","ONBOARDING-PROFILE.01","[ONBOARDING-PROFILE.01] Onboarding, profile, body metrics, avatar polish","Onboarding target apply, profile/body metrics, avatar/image rendering, account wording","Đinh Công Hiếu","P1 (High)","P4 — Nâng cấp AI & Pro","Hoàn thành","Commit Evidence"
"36a77291-449d-8106-aae4-e23c534a044c","P1-00","[Plan] Lập Kế hoạch Thực hiện Đồ án","Gantt chart + Bảng phân công + Mốc kiểm tra","","P0 (Critical)","P1 — Khảo sát & Phân tích","Hoàn thành",""
"36a77291-449d-8101-86b2-e00ba3f494a7","P1-01","[P1-01] Khảo sát Yêu cầu Người dùng (Google Form)","≥30 phiếu + biểu đồ","","P0 (Critical)","P1 — Khảo sát & Phân tích","Hoàn thành",""
"36a77291-449d-8102-85f7-ffa60ec284ed","P1-02","[P1-02] Phân tích đối thủ cạnh tranh (≥5 app)","Bảng feature matrix ≥5 app","","P0 (Critical)","P1 — Khảo sát & Phân tích","Hoàn thành",""
"36a77291-449d-81d3-89fe-c33c0bee84c7","P1-03","[P1-03] Viết SRS (Đặc tả Yêu cầu Phần mềm)","File SRS chuẩn IEEE + ≥15 use cases","","P0 (Critical)","P1 — Khảo sát & Phân tích","Hoàn thành",""
"36a77291-449d-81aa-a476-c784b3d7ecba","P1-04","[P1-04] Vẽ Use Case + Activity Diagram","≥1 Use Case + ≥5 Activity Diagram","","P0 (Critical)","P1 — Khảo sát & Phân tích","Hoàn thành",""
"36a77291-449d-814f-bf17-cbc0de5411d5","P1-05","[P1-05] Chuẩn hóa API Contract & DTO lỗi/AI response","JSON Schema error + AI response chuẩn","","P0 (Critical)","P1 — Khảo sát & Phân tích","Hoàn thành",""
"36a77291-449d-814d-a0ca-da4d83928131","P1-DOC.01","[P1-DOC.01] Khảo sát & Phân tích Bối cảnh Khởi nghiệp HealthTech","Chương 'Tổng quan bối cảnh' trong báo cáo + slide phần mở đầu. Bao gồm: phân tích thị trường HealthTech/FoodTech VN, mô hình kinh doanh startup, phân tích SWOT, so sánh 3 đối thủ (MyFitnessPal, Calory, app nhật ký ăn uống VN). [CLO1.1 — Tìm hiểu Doanh nghiệp → mức TỐT: 2đ]","Đinh Công Hiếu","P0 (Critical)","P1 — Khảo sát & Phân tích","Hoàn thành",""
"36a77291-449d-81ef-87b5-d8f8590ee9f2","P1-DOC.02","[P1-DOC.02] Tài liệu Quy trình Phát triển & Phương pháp luận Agile","Chương 'Phương pháp luận & Quy trình' trong báo cáo. Bao gồm: quy trình Agile/Scrum (Notion board = evidence), sprint timeline P1→P6, phân công 2 thành viên, burndown chart từ Notion completion. [CLO1.2 — Nhiệm vụ được giao → mức TỐT: 2đ]","Đinh Công Hiếu","P0 (Critical)","P1 — Khảo sát & Phân tích","Hoàn thành",""
"36a77291-449d-81de-8a86-d5693cecb69c","P2-01","[P2-01] Vẽ System Architecture Diagram","File diagram png (http://Draw.io/Mermaid)","","P0 (Critical)","P2 — Thiết kế Hệ thống","Hoàn thành",""
"36a77291-449d-8191-a060-d8f72a98e420","P2-02","[P2-02] Vẽ ERD + Class Diagram","ERD ≥12 bảng + Class Diagram","","P0 (Critical)","P2 — Thiết kế Hệ thống","Hoàn thành",""
"36a77291-449d-8197-8bcc-df0c6fcbcb55","P2-03","[P2-03] Wireframe / Screenshots UI (≥20 màn)","≥20 screenshots annotated","","P0 (Critical)","P2 — Thiết kế Hệ thống","Hoàn thành",""
"36a77291-449d-81d2-8b81-cb3e3b21ad79","P2-04","[P2-04] Sequence Diagram 3 luồng AI","3 Sequence Diagrams","","P1 (High)","P2 — Thiết kế Hệ thống","Hoàn thành",""
"36a77291-449d-8110-bace-e05e75bbd648","P3-BE.01","[P3-BE.01] Fix xUnit Test Infrastructure","dotnet test pass 100%","Lê Chí Tường","P0 (Critical)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-81f0-ae3b-ce94459ec6a5","P3-BE.02","[P3-BE.02] Hợp nhất Google Auth + JWT chuẩn","JWT validate Issuer/Audience; legacy Google auth endpoint cũ trả Gone; refresh token bị revoke đúng vòng đời; đã có unit + integration tests.","Đinh Công Hiếu","P1 (High)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-8105-8e3e-ee18b3f4e2de","P3-BE.03","[P3-BE.03] Backend Proxy cho Voice API","Postman qua :5247 OK","Lê Chí Tường","P0 (Critical)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-8180-81b1-cfe97fb6fdee","P3-BE.04","[P3-BE.04] Dọn Hardcoded Secrets & Config","0 secret trong code","Lê Chí Tường","P0 (Critical)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-8165-b476-d428e7cc9ad0","P3-BE.05","[P3-BE.05] DB Migration + Index Strategy","Cloud delete meal diary đã sửa xong: tạo entry -> DELETE 204 -> readback không còn dữ liệu đã xóa trên contract probe.","Lê Chí Tường","P0 (Critical)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-81a7-9d6c-e5539d472bc9","P3-BE.06","[P3-BE.06] API Validate Data bất thường","Return 400 khi data bất thường","Lê Chí Tường","P1 (High)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-8158-9a50-f58e89cb8db4","P3-BE.07","[P3-BE.07] Food Search Reliability & Contract Unification","Search trả kết quả ổn định, 1 đường search chính, empty state có nguyên nhân rõ","Đinh Công Hiếu","P0 (Critical)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-8103-90d6-c48b60b7e230","P3-CLOUD.01","[P3-CLOUD.01] Cloud Infrastructure Documentation (Render + Supabase)","docs/10_SUPABASE_RENDER_CLOUD_SETUP.md (đã có). Document toàn bộ cloud deployment: Render.com (2 services), Supabase (PostgreSQL + Storage), Docker containerization, data migration SQL Server → PostgreSQL, render.yaml, env vars.","Đinh Công Hiếu","P0 (Critical)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-81b3-a98c-eeabfeed5db0","P3-CLOUD.02","[P3-CLOUD.02] Fix RLS — AiCorrectionEvent Security (Supabase Advisor)","RLS enabled + policy cho AiCorrectionEvent. Supabase Security Advisor 0 error. Hiện là lỗ hổng bảo mật duy nhất trên production (rls_disabled_in_public ERROR).","Đinh Công Hiếu","P0 (Critical)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-817f-a4be-dac585ad0025","P3-CLOUD.03","[P3-CLOUD.03] Cold Start Mitigation & Health Monitoring (UptimeRobot)","Đã có health/readiness endpoints, AI health status, render verify/smoke gates và cloud wake-up flow; còn thiếu monitoring ngoài (UptimeRobot/cron) và benchmark cold-start chính thức.","Đinh Công Hiếu","P1 (High)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-8138-adaf-dba1a658e9df","P3-FE.01","[P3-FE.01] Fix TypeScript toàn bộ mobile","npm run typecheck pass 100%","","P0 (Critical)","P3 — Ổn định Nền tảng","Hoàn thành",""
"36a77291-449d-8106-b943-d363e4f41c46","P3-FE.02","[P3-FE.02] Hợp nhất Google Login trên Mobile","Google sign-in mobile đã dùng contract chung với backend và có regression test; còn thiếu xác nhận end-to-end trên thiết bị hoặc cloud.","Đinh Công Hiếu","P0 (Critical)","P3 — Ổn định Nền tảng","Hoàn thành",""
