candidate_name,decision,append_to_taxonomy,existing_canonical_class,images,instances,eligible_images,eligible_instances,source_count,eligible_source_count,sources,eligible_sources,raw_labels,dominant_candidate_origin,hold_reasons,decision_reason
salad_leaf_salad_green,priority_accept,True,,4128,4192,2064,2096,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,salad-leaf-salad-green,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_priority_images
bread_white,priority_accept,True,,3860,4062,1930,2031,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,bread-white,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_priority_images
tomato_raw,priority_accept,True,,3850,3936,1925,1968,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,tomato-raw,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_priority_images
bread,priority_accept,True,,1759,1765,1582,1585,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,bread,segmentation_or_mask,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_priority_images
carrot_raw,priority_accept,True,,3018,3062,1509,1531,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,carrot-raw,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_priority_images
bread_wholemeal,priority_accept,True,,2976,3080,1488,1540,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,bread-wholemeal,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_priority_images
chicken_duck,priority_accept,True,,1242,1242,1242,1242,1,1,foodseg103,foodseg103,chicken duck,segmentation_or_mask,,detection_priority_images
apple,priority_accept,True,,1978,2138,1068,1148,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,apple,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_priority_images
steak,priority_accept,True,,2065,2065,1065,1065,2,1,food41|foodseg103,foodseg103,steak,segmentation_or_mask,source_decision:HOLD_CLASSIFICATION_ONLY,detection_priority_images
mixed_vegetables,priority_accept,True,,1810,1842,905,921,2,1,food_recognition_2022|food_recognition_2022_dataset,food_recognition_2022_dataset,mixed-vegetables,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_priority_images
cilantro_mint,priority_accept,True,,900,900,900,900,1,1,foodseg103,foodseg103,cilantro mint,segmentation_or_mask,,detection_priority_images
banana,priority_accept,True,,1478,1642,817,899,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,banana,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_priority_images
ice_cream,accept,True,,2413,2610,913,913,3,1,food41|foodseg103|junk_food_object_detection_dataset_yolo_format,foodseg103,Ice_Cream|ice cream|ice_cream,classification_pseudo_box_review,source_decision:HOLD_CLASSIFICATION_ONLY|source_decision:HOLD_OVERLAP_ONLY,classification_accept_images
lemon,accept,True,,835,861,715,728,3,2,food_recognition_2022|food_recognition_2022_dataset|foodseg103,food_recognition_2022_dataset|foodseg103,lemon,segmentation_or_mask,source_decision:HOLD_LICENSE_OR_DUPLICATE,detection_accept_images_or_instances
