path,area,kind,tracked_or_generated,referenced_by,last_signal,risk,recommended_action,confidence,verification_needed,notes
.editorconfig,root,file,tracked,Tracked repo path inside an active workspace area.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
.github/workflows/ci.yml,workspace-meta,config,tracked,Tracked repository metadata for GitHub automation.,mtime:2026-04-17,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
.gitignore,root,file,tracked,Tracked repo path inside an active workspace area.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
.nvmrc,root,file,tracked,Tracked repo path inside an active workspace area.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
.python-version,root,file,tracked,Tracked repo path inside an active workspace area.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
.serena/.gitignore,workspace-meta,file,tracked,Tracked assistant memory or Serena config used by this workspace.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
.serena/memories/project_overview.md,workspace-meta,doc,tracked,Tracked assistant memory or Serena config used by this workspace.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
.serena/memories/style_and_conventions.md,workspace-meta,doc,tracked,Tracked assistant memory or Serena config used by this workspace.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
.serena/memories/suggested_commands.md,workspace-meta,doc,tracked,Tracked assistant memory or Serena config used by this workspace.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
.serena/memories/task_completion.md,workspace-meta,doc,tracked,Tracked assistant memory or Serena config used by this workspace.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
.vscode/tasks.json,workspace-meta,config,tracked,Tracked editor workspace metadata.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
1_download_data.py,root,script,tracked,Only surfaced by docs/yolo11-upgrade-research.md or adjacent legacy training files; not part of runtime manifests.,mtime:2026-04-16,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,Legacy root-level training lane disconnected from current ai-provider runtime.
2_merge_dataset.py,root,script,tracked,Only surfaced by docs/yolo11-upgrade-research.md or adjacent legacy training files; not part of runtime manifests.,mtime:2026-04-16,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,Legacy root-level training lane disconnected from current ai-provider runtime.
3_train_eatfit_v2.py,root,script,tracked,Only surfaced by docs/yolo11-upgrade-research.md or adjacent legacy training files; not part of runtime manifests.,mtime:2026-04-16,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,Legacy root-level training lane disconnected from current ai-provider runtime.
Bo_cuc_cua_bao_cao.md,root,doc,tracked,Loose planning/report-format note in repo root; not referenced by active manifests or runbooks.,mtime:2026-04-16,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,No extra cleanup note.
ENVIRONMENT_MANIFEST.example,root,config,tracked,Tracked repo path inside an active workspace area.,mtime:2026-04-18,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
EatFitAI_v1.sln,root,manifest,tracked,Tracked repo path inside an active workspace area.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
Hinh_thuc_trinh_bay_bao_cao.md,root,doc,tracked,Loose planning/report-format note in repo root; not referenced by active manifests or runbooks.,mtime:2026-04-16,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,No extra cleanup note.
JWT_CONFIGURATION.md,root,doc,tracked,Tracked repo path inside an active workspace area.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
PLAN.md,root,doc,tracked,Loose planning/report-format note in repo root; not referenced by active manifests or runbooks.,mtime:2026-04-16,medium,ARCHIVE_OR_MOVE,medium,Confirm no active owner or scheduled run still depends on this path.,No extra cleanup note.
README.md,root,doc,tracked,"Canonical workspace onboarding doc, but contains machine-specific absolute links.",mtime:2026-04-17,medium,FIX_OR_REPLACE,high,"Repair the documented path or tool behavior, then rerun the linked workflow.",absolute_windows_path_hits=14
SECRETS_CHECKLIST.md,root,doc,tracked,Tracked repo path inside an active workspace area.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
SETUP_GUIDE.md,root,doc,tracked,"Canonical workspace onboarding doc, but contains machine-specific absolute links.",mtime:2026-04-16,medium,FIX_OR_REPLACE,high,"Repair the documented path or tool behavior, then rerun the linked workflow.",absolute_windows_path_hits=2
_logs,generated,generated-dir,generated,Generated local output root; descendants are reproducible and ignored by git.,mtime:2026-04-16,low,DELETE_NOW,high,Confirm .gitignore coverage and regenerate only when needed.,descendant_files=130 latest_generated_signal=2026-04-17
_state,generated,generated-dir,generated,Generated local output root; descendants are reproducible and ignored by git.,mtime:2026-04-16,low,DELETE_NOW,high,Confirm .gitignore coverage and regenerate only when needed.,descendant_files=0 latest_generated_signal=2026-04-16
ai-provider/.dockerignore,ai-provider,file,tracked,Documented in ai-provider/README.md or used by the current AI provider runtime/tests.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
ai-provider/.env.example,ai-provider,config,tracked,Documented in ai-provider/README.md or used by the current AI provider runtime/tests.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
ai-provider/.gitignore,ai-provider,file,tracked,Documented in ai-provider/README.md or used by the current AI provider runtime/tests.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
ai-provider/Dockerfile,ai-provider,file,tracked,Documented in ai-provider/README.md or used by the current AI provider runtime/tests.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
ai-provider/README.md,ai-provider,doc,tracked,Documented in ai-provider/README.md or used by the current AI provider runtime/tests.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
ai-provider/TRAINING_GUIDE.md,ai-provider,doc,tracked,Training or model-distribution helper adjacent to the AI provider; not part of the app.py runtime path.,mtime:2026-04-16,medium,VERIFY_FIRST,medium,"Search runtime, import, script, and doc ownership before deleting or moving.",Separate training lane from runtime app.py path.
ai-provider/app.py,ai-provider,script,tracked,Documented in ai-provider/README.md or used by the current AI provider runtime/tests.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
ai-provider/continue_training.py,ai-provider,script,tracked,Training or model-distribution helper adjacent to the AI provider; not part of the app.py runtime path.,mtime:2026-04-16,medium,VERIFY_FIRST,medium,"Search runtime, import, script, and doc ownership before deleting or moving.",Separate training lane from runtime app.py path.
ai-provider/download_dataset.py,ai-provider,script,tracked,Legacy training helper with a hardcoded D:/datasets default path.,mtime:2026-04-16,medium,FIX_OR_REPLACE,high,"Repair the documented path or tool behavior, then rerun the linked workflow.",absolute_windows_path_hits=1
ai-provider/download_model.py,ai-provider,script,tracked,Training or model-distribution helper adjacent to the AI provider; not part of the app.py runtime path.,mtime:2026-04-16,medium,VERIFY_FIRST,medium,"Search runtime, import, script, and doc ownership before deleting or moving.",Separate training lane from runtime app.py path.
ai-provider/export_model.py,ai-provider,script,tracked,Training or model-distribution helper adjacent to the AI provider; not part of the app.py runtime path.,mtime:2026-04-16,medium,VERIFY_FIRST,medium,"Search runtime, import, script, and doc ownership before deleting or moving.",Separate training lane from runtime app.py path.
ai-provider/gemini_pool.py,ai-provider,script,tracked,Documented in ai-provider/README.md or used by the current AI provider runtime/tests.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
ai-provider/gunicorn.conf.py,ai-provider,script,tracked,Documented in ai-provider/README.md or used by the current AI provider runtime/tests.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
ai-provider/nutrition_llm.py,ai-provider,script,tracked,Documented in ai-provider/README.md or used by the current AI provider runtime/tests.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
ai-provider/requirements.txt,ai-provider,data,tracked,Documented in ai-provider/README.md or used by the current AI provider runtime/tests.,mtime:2026-04-16,low,KEEP_ACTIVE,high,None.,No extra cleanup note.
