source_slug,sample_grid_quality,clean_action,reason,required_filters
food_data_truongvo,STRONG,FIRST_CLEAN_CORE,"Strong Vietnamese dish backbone, moderate 30-class taxonomy, clean large-source audit, and high Vietnamese class ratio.","manual class mapping; sample-grid approval; source weight caps; dedupe against other Vietnamese backbones"
rawdata_my_khanh,STRONG,FIRST_CLEAN_CORE,"Very strong Mekong/Vietnamese dish coverage with real plated dishes, local foods, and useful tail classes.","convert segment rows to boxes; verify exact source/license; map Vietnamese classes only"
food_items,STRONG_MULTI_OBJECT,FIRST_CLEAN_CORE,"Best multi-object meal-tray source from Drive: rice, soup, protein, vegetables, and side dishes appear together in one image.","convert segment rows to boxes; dedupe tray scenes; keep mapped classes only"
canteen_menu,STRONG_LOW_CLASS,FIRST_CLEAN_CORE,"Small controllable canteen/home-meal class set with Vietnamese dishes such as thit kho, ca kho, canh, dau hu, rau muong, and trung chien.","convert segment rows to boxes; drop empty labels; keep stable meal classes"
food_prethesis,STRONG_FILTERED,FIRST_CLEAN_CORE_FILTERED,"Large Vietnamese dish backbone with dishes and ingredients, but sample grid includes generic/non-target classes such as human, hamburger, salad, and English/non-food labels.","strict class whitelist; drop human/generic/non-food classes; dedupe duplicate label rows; cap dominant classes"
vietnamese_food_calories,GOOD_TAIL,TAIL_BOOSTER,"Good Vietnamese tail dishes such as banh beo, banh loc, banh khot, ba chi nuong, com tam, and thit kho tau, but some web/text/person images are visible.","convert segment rows to boxes; reject text-heavy/person-heavy images; cap tail classes"
banh_dan_gian_nb,GOOD_TAIL,TAIL_BOOSTER,"Focused traditional Vietnamese cake/dessert source with cleaner single-object and plated samples than the larger market-grid source.","keep missing tail classes only; cap weight; verify exact source/license"
banh_dan_gian_mien_tay,GOOD_BUT_CROWDED,TAIL_BOOSTER_AFTER_CROWD_FILTER,"Relevant western-Vietnam market/traditional-cake scenes, but repeated crowded stall views can overfit and overcount dense boxes.","convert segment rows to boxes; crowd/overlap filter; cap repeated market scenes"
vietnamese_food_5,GOOD_BOOSTER,BOOSTER_FILTERED,"Focused 5-class Vietnamese booster for pho, banh mi, goi cuon, bun, and bot chien; useful but includes people/presenter frames.","drop person-heavy frames; dedupe with food_ai_tong_hop and food_prethesis; cap contribution"
food_ai_tong_hop,GOOD_SINGLE_CLASS,BOOSTER_BANH_MI,"Clean banh mi visual booster, but exported class name is generic label and must not enter taxonomy as label.","map label to banh_mi only; dedupe against other banh_mi sources; cap contribution"
food_detection_bobotnhan,MIXED_FILTERED,SECONDARY_FILTERED,"Contains useful Vietnamese/general meal classes, but sample grid also includes many fruit, pizza, dairy, and broad general-food classes.","strict whitelist; drop fruit/pizza/general non-target classes; fix tiny boxes; convert segment rows"
food_kcmrd,GOOD_INGREDIENT,INGREDIENT_SUPPLEMENT,"Useful ingredient/protein/vegetable supplement with tofu, shrimp, fish, duck, noodles, greens, ginger, turmeric, and other raw materials.","map ingredient/protein classes only; dedupe duplicate label rows; avoid importing full broad taxonomy"
thai_food,GOOD_SEA_OVERLAP,SEA_SUPPLEMENT_CHERRY_PICK,"Good neighboring-cuisine source for overlapping SEA foods, fish, shrimp, pork, soups, and sauces, but not Vietnamese-first.","keep overlapping target classes only; avoid cuisine dilution; convert segment rows"
fish,SINGLE_CLASS_LOW,OPTIONAL_PROTEIN_BOOSTER,"Simple fish/protein single-class booster; useful only if fish class remains weak after core merge.","cap image count; dedupe repetitive fish frames"
food_prethesis_v3,OVERLAP_TAIL,HOLD_OR_TAIL,"Alternate Food export overlaps food_prethesis v6 but has some useful Vietnamese cake/soup tail examples.","dedupe by image hash; use only classes missing or cleaner than v6"
uecfood256,BROAD_HOLD,CHERRY_PICK_ONLY,"Large Asian food source with clean single-dish boxes, but 253 classes would make the taxonomy too loose if merged full.","drop unmapped classes; cherry-pick only after core sources show gaps; cap per class"
vegetable_detection,CROWDED_HOLD,HOLD_CROWDED_INGREDIENT,"Relevant vegetable classes but sample grid is extremely crowded with repeated market boxes and dense overlapping labels.","do not include in first clean candidate; require aggressive overlap/crowd filtering first"
food_detection_64,NOISY_BROAD_HOLD,HOLD_CHERRY_PICK,"Broad general food source with many non-Vietnamese foods, fruit, fast food, people, and noisy context.","hold from first clean build; cherry-pick only if a target class has a gap"
food_detection_xt7yz,LOW_FIT_HOLD,HOLD_CHERRY_PICK,"Mostly non-Vietnamese/fast-food and generic meal classes; lower fit than other cached sources.","hold from first clean build; cherry-pick only mapped overlap classes"
npg_project,LOW_FIT_PRODUCT,HOLD_INGREDIENT_GAPS,"Mostly isolated products, packaged foods, and non-meal objects; lower fit for prepared Vietnamese meal detection.","hold until ingredient gaps remain; reject packaged/background/non-food classes"
vietfood67,STRONG_LICENSE_RISK,NONCOMMERCIAL_ONLY,"Strong Vietnamese backbone from Kaggle direct audit, but license is CC BY-NC-SA 4.0 and sample review previously found generic/non-target classes.","keep out of default production clean set; private/non-commercial lane only; strict class whitelist"
food_union_fruit_old,QUARANTINE,EXCLUDE,"Old fruit-heavy source remains excluded by prior decision.","none"
food_detection_3_old,QUARANTINE,EXCLUDE,"Old/problem source remains excluded by prior duplicate-label/quarantine decision.","none"
