candidate_name,decision,append_to_taxonomy,existing_canonical_class,images,instances,eligible_images,eligible_instances,source_count,eligible_source_count,sources,eligible_sources,raw_labels,dominant_candidate_origin,hold_reasons,targeted_collection_lanes,decision_reason
apple,priority_accept,True,,3197,19614,2287,18624,4,3,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,apple,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_priority_images
salad_leaf_salad_green,priority_accept,True,,4128,4192,2064,2096,2,1,awsaf49/food-recognition-2022-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset,salad-leaf-salad-green,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_priority_images
bread_whole_wheat,priority_accept,True,,4028,4176,2014,2088,2,1,awsaf49/food-recognition-2022-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset,bread-whole-wheat|bread-wholemeal,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_priority_images
bread_white,priority_accept,True,,3860,4062,1930,2031,2,1,awsaf49/food-recognition-2022-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset,bread-white,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_priority_images
bread,priority_accept,True,,1759,1765,1582,1585,3,2,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103,bread,segmentation_or_mask,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_priority_images
strawberry,priority_accept,True,,1765,5941,1341,5499,4,3,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,Strawberry|strawberries|strawberry,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_priority_images
lettuce,priority_accept,True,,1308,6272,1308,6272,2,2,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,lettuce,yolo_detection,,,detection_priority_images
chicken_duck,priority_accept,True,,1242,1242,1242,1242,1,1,fontainenathan/foodseg103,fontainenathan/foodseg103,chicken duck,segmentation_or_mask,,,detection_priority_images
lemon,priority_accept,True,,1180,3033,1060,2900,4,3,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,lemon,segmentation_or_mask,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_priority_images
mixed_vegetables,priority_accept,True,,1810,1842,905,921,2,1,awsaf49/food-recognition-2022-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset,mixed-vegetables,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_priority_images
