source_slug,sample_grid_quality,clean_action,reason,required_filters
food_data_truongvo,STRONG,FIRST_CLEAN_CORE,"Strong Vietnamese dish backbone, moderate 30-class taxonomy, clean large-source audit, and high Vietnamese class ratio.","manual class mapping; sample-grid approval; source weight caps; dedupe against other Vietnamese backbones"
detection_15_vietnamese_food_v2,STRONG,FIRST_CLEAN_CORE,"Focused Vietnamese dish source with clean boxes, 15 moderate classes, and strong prepared-dish fit such as goi cuon, pho, banh mi, fried rice, soups, and clay-pot fish.","manual class mapping; source weight caps; dedupe overlapping banh_mi/pho/goi_cuon classes"
rawdata_my_khanh,STRONG,FIRST_CLEAN_CORE,"Very strong Mekong/Vietnamese dish coverage with real plated dishes, local foods, and useful tail classes.","convert segment rows to boxes; verify exact source/license; map Vietnamese classes only"
food_items,STRONG_MULTI_OBJECT,FIRST_CLEAN_CORE,"Best multi-object meal-tray source from Drive: rice, soup, protein, vegetables, and side dishes appear together in one image.","convert segment rows to boxes; dedupe tray scenes; keep mapped classes only"
canteen_menu,STRONG_LOW_CLASS,FIRST_CLEAN_CORE,"Small controllable canteen/home-meal class set with Vietnamese dishes such as thit kho, ca kho, canh, dau hu, rau muong, and trung chien.","convert segment rows to boxes; drop empty labels; keep stable meal classes"
food_prethesis,STRONG_FILTERED,FIRST_CLEAN_CORE_FILTERED,"Large Vietnamese dish backbone with dishes and ingredients, but sample grid includes generic/non-target classes such as human, hamburger, salad, and English/non-food labels.","strict class whitelist; drop human/generic/non-food classes; dedupe duplicate label rows; cap dominant classes"
vietnamese_food_calories,GOOD_TAIL,TAIL_BOOSTER,"Good Vietnamese tail dishes such as banh beo, banh loc, banh khot, ba chi nuong, com tam, and thit kho tau, but some web/text/person images are visible.","convert segment rows to boxes; reject text-heavy/person-heavy images; cap tail classes"
banh_dan_gian_nb,GOOD_TAIL,TAIL_BOOSTER,"Focused traditional Vietnamese cake/dessert source with cleaner single-object and plated samples than the larger market-grid source.","keep missing tail classes only; cap weight; verify exact source/license"
khoa_food_jfsxy,GOOD_TAIL,TAIL_BOOSTER,"Focused Vietnamese cake/tail source with clean visual fit for banh beo, banh bo, banh bot loc, banh can, banh chung, banh cuon, and related classes.","drop empty labels; dedupe with banh-heavy Drive sources; cap tail contribution"
banh_dan_gian_mien_tay,GOOD_BUT_CROWDED,TAIL_BOOSTER_AFTER_CROWD_FILTER,"Relevant western-Vietnam market/traditional-cake scenes, but repeated crowded stall views can overfit and overcount dense boxes.","convert segment rows to boxes; crowd/overlap filter; cap repeated market scenes"
vietnamese_food_5,GOOD_BOOSTER,BOOSTER_FILTERED,"Focused 5-class Vietnamese booster for pho, banh mi, goi cuon, bun, and bot chien; useful but includes people/presenter frames.","drop person-heavy frames; dedupe with food_ai_tong_hop and food_prethesis; cap contribution"
vietnamese_food_nhh,GOOD_BOOSTER,BOOSTER_FILTERED,"Focused 5-class Vietnamese booster with realistic pho, bun, goi cuon, bot chien, and banh mi samples, including some street/people context.","drop person-heavy frames; dedupe with vietnamese_food_5 and other banh_mi/pho/goi_cuon sources; cap contribution"
food_ai_tong_hop,GOOD_SINGLE_CLASS,BOOSTER_BANH_MI,"Clean banh mi visual booster, but exported class name is generic label and must not enter taxonomy as label.","map label to banh_mi only; dedupe against other banh_mi sources; cap contribution"
food_detection_bobotnhan,MIXED_FILTERED,SECONDARY_FILTERED,"Contains useful Vietnamese/general meal classes, but sample grid also includes many fruit, pizza, dairy, and broad general-food classes.","strict whitelist; drop fruit/pizza/general non-target classes; fix tiny boxes; convert segment rows"
food_kcmrd,GOOD_INGREDIENT,INGREDIENT_SUPPLEMENT,"Useful ingredient/protein/vegetable supplement with tofu, shrimp, fish, duck, noodles, greens, ginger, turmeric, and other raw materials.","map ingredient/protein classes only; dedupe duplicate label rows; avoid importing full broad taxonomy"
food_ingredients_v1,GOOD_INGREDIENT,INGREDIENT_SUPPLEMENT_FILTERED,"Useful raw ingredient supplement with vegetables, meats, lentils, rice, tubers, and legumes, but many labels are English/Nepali and not Vietnamese-first.","strict ingredient whitelist; map Vietnamese/common ingredient names; reject low-value/non-target labels; cap isolated-object images"
mon_chung,MIXED_MEAL_INGREDIENT,MEAL_COMPONENT_SUPPLEMENT,"Useful Vietnamese meal components such as com, trung_op_la, nuoc_cham, suon, dua_leo, and ca_chua, but sample grid is more component/ingredient oriented than full multi-object plates.","drop empty labels; convert segment rows; keep only meal-component classes; cap contribution"
food_ingredient_recognition,GOOD_INGREDIENT_DENSE,INGREDIENT_SUPPLEMENT_FILTERED,"Large ingredient source with many useful raw food classes such as bokchoy, crab, rice, salmon, pork belly, cucumber, tofu, shrimp, garlic, potato, and vegetables.","strict ingredient whitelist; cap dense repeated boxes; reject non-target fruit/low-fit labels"
food_ingredient_3qyxj,GOOD_INGREDIENT_FILTERED,INGREDIENT_SUPPLEMENT_FILTERED,"Useful compact ingredient source for chicken, egg, carrot, beef, garlic, onion, chili, leek, potato, and kimchi, with clean object-centric images.","convert segment rows; whitelist ingredient/protein classes; decide whether kimchi belongs in final taxonomy"
spice_caezr,GOOD_SPICE_DENSE,SPICE_SUPPLEMENT_FILTERED,"Useful spice/aromatic source with garlic, onion, ginger/galangal, cinnamon, clove, coriander seed, lime leaves, fennel/cumin-like seeds, and star anise labels, but box density is high.","map Indonesian labels to Vietnamese/common names; cap dense spice images; reject over-labeled grids"
ingredient_v0h5a,DENSE_CHERRY_PICK,INGREDIENT_CHERRY_PICK,"Public-domain ingredient source with tofu, tempeh, sweet potato, spinach, shrimp, chicken, egg, fish, carrot, squid, and potato, but sample grid has very dense repeated boxes and segment-heavy audit.","cherry-pick only weak ingredient classes; convert segments carefully; cap dense repeated images"
thai_food,GOOD_SEA_OVERLAP,SEA_SUPPLEMENT_CHERRY_PICK,"Good neighboring-cuisine source for overlapping SEA foods, fish, shrimp, pork, soups, and sauces, but not Vietnamese-first.","keep overlapping target classes only; avoid cuisine dilution; convert segment rows"
fish,SINGLE_CLASS_LOW,OPTIONAL_PROTEIN_BOOSTER,"Simple fish/protein single-class booster; useful only if fish class remains weak after core merge.","cap image count; dedupe repetitive fish frames"
