candidate_name,decision,append_to_taxonomy,existing_canonical_class,images,instances,eligible_images,eligible_instances,source_count,eligible_source_count,sources,eligible_sources,raw_labels,dominant_candidate_origin,hold_reasons,targeted_collection_lanes,decision_reason
salad_leaf_salad_green,priority_accept,True,,4663,4727,2599,2631,3,2,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification,salad-leaf-salad-green,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_priority_images
bread_white,priority_accept,True,,4455,4657,2525,2626,3,2,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification,bread-white,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_priority_images
bread_whole_wheat,priority_accept,True,,4500,4648,2486,2560,3,2,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification,bread-whole-wheat|bread-wholemeal,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_priority_images
apple,priority_accept,True,,3388,19805,2478,18815,5,4,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,apple,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_priority_images
bread,priority_accept,True,,2826,2832,1582,1585,4,2,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|sainikhileshreddy/food-recognition-2022|zachaluza/cnfood-241,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103,Bread|bread,segmentation_or_mask,private_or_noncommercial_license:cc-by-nc-3.0|source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_priority_images
ice_cream,priority_accept,True,,4961,5483,1471,1796,6,2,fontainenathan/foodseg103|kmader/food41|raahimshah/desi-food-dataset-annotated|shanemarvinmay/food-image-dataset|youssefahmed003/junk-food-object-detection-dataset-yolo-format|zachaluza/cnfood-241,fontainenathan/foodseg103|raahimshah/desi-food-dataset-annotated,Ice_Cream|ice cream|ice-cream|ice_cream,classification_pseudo_box_review,private_or_noncommercial_license:cc-by-nc-3.0|source_decision:HOLD_CLASSIFICATION_ONLY|source_decision:HOLD_DUPLICATE_ADAPTER_REQUIRED|source_decision:HOLD_OVERLAP_ONLY,,classification_priority_images
strawberry,priority_accept,True,,1852,6028,1428,5586,5,4,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,Strawberry|strawberries|strawberry,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_priority_images
lettuce,priority_accept,True,,1308,6272,1308,6272,2,2,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,lettuce,yolo_detection,,,detection_priority_images
chicken_duck,priority_accept,True,,1242,1242,1242,1242,1,1,fontainenathan/foodseg103,fontainenathan/foodseg103,chicken duck,segmentation_or_mask,,,detection_priority_images
mixed_vegetables,priority_accept,True,,2047,2079,1142,1158,3,2,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification,mixed-vegetables,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_priority_images
lemon,priority_accept,True,,1180,3033,1060,2900,4,3,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,lemon,segmentation_or_mask,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_priority_images
pasta,priority_accept,True,,1597,1613,928,936,4,3,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103,pasta|pasta-spaghetti,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_priority_images
cilantro_mint,priority_accept,True,,900,900,900,900,1,1,fontainenathan/foodseg103,fontainenathan/foodseg103,cilantro mint,segmentation_or_mask,,,detection_priority_images
potatoes_steamed,priority_accept,True,,1460,1526,808,841,3,2,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification,potatoes-steamed,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_priority_images
steak,accept,True,,3173,3173,1065,1065,4,1,fontainenathan/foodseg103|kmader/food41|rkuo2000/uecfood256|shanemarvinmay/food-image-dataset,fontainenathan/foodseg103,steak,classification_pseudo_box_review,source_decision:HOLD_CLASSIFICATION_ONLY|source_decision:HOLD_DUPLICATE_ADAPTER_REQUIRED|source_decision:HOLD_LICENSE,,classification_accept_images
samosa,accept,True,,2703,3740,703,1740,3,1,kmader/food41|raahimshah/desi-food-dataset-annotated|shanemarvinmay/food-image-dataset,raahimshah/desi-food-dataset-annotated,samosa,classification_pseudo_box_review,source_decision:HOLD_CLASSIFICATION_ONLY|source_decision:HOLD_DUPLICATE_ADAPTER_REQUIRED,,classification_accept_images
french_beans,accept,True,,955,959,702,704,4,3,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|fontainenathan/foodseg103,French beans|french-beans,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_accept_images_or_instances
pie,accept,True,,558,558,558,558,1,1,fontainenathan/foodseg103,fontainenathan/foodseg103,pie,segmentation_or_mask,,,detection_accept_images_or_instances
chips_french_fries,accept,True,,862,870,499,503,3,2,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification,chips-french-fries,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_accept_images_or_instances
zucchini,accept,True,,872,894,481,492,3,2,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification,zucchini,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_accept_images_or_instances
cake,accept,True,,459,459,459,459,1,1,fontainenathan/foodseg103,fontainenathan/foodseg103,cake,segmentation_or_mask,,,detection_accept_images_or_instances
pepper,accept,True,,436,436,436,436,1,1,fontainenathan/foodseg103,fontainenathan/foodseg103,pepper,segmentation_or_mask,,,detection_accept_images_or_instances
pizza_margherita_baked,accept,True,,750,780,430,445,3,2,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification,pizza-margherita-baked,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_accept_images_or_instances
dark_chocolate,accept,True,,762,882,425,485,3,2,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|bjoernjostein/food-classification,dark-chocolate,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_accept_images_or_instances
curry,accept,True,,423,434,423,434,1,1,raahimshah/desi-food-dataset-annotated,raahimshah/desi-food-dataset-annotated,curry,yolo_detection,,,detection_accept_images_or_instances
pear,accept,True,,656,1630,406,1375,4,3,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,pear,annotation_category_review,source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_accept_images_or_instances
grape,accept,True,,399,6632,399,6632,2,2,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,fontainenathan/foodseg103|henningheyen/lvis-fruits-and-vegetables-dataset,grape,yolo_detection,,,detection_accept_images_or_instances
sausage,accept,True,,607,613,369,372,4,2,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103|rkuo2000/uecfood256|sainikhileshreddy/food-recognition-2022,awsaf49/food-recognition-2022-dataset|fontainenathan/foodseg103,sausage,segmentation_or_mask,source_decision:HOLD_LICENSE|source_decision:HOLD_LICENSE_OR_DUPLICATE,,detection_accept_images_or_instances
