source_slug,audit_state,clean_lane,include_in_default_clean,license_lane,cache_state,source_weight_cap,required_filters,reason
food_data_truongvo,audited_cached,FIRST_CLEAN_CORE,yes,cc_by_4,cached_to_kaggle_dataset,1.00,manual_class_mapping;dedupe;source_weight_cap,Strong 30-class Vietnamese dish backbone handled through Roboflow export instead of the oversized Drive zip.
detection_15_vietnamese_food_v2,audited_cached,FIRST_CLEAN_CORE,yes,cc_by_4,cached_to_kaggle_dataset,1.00,manual_class_mapping;dedupe;source_weight_cap,Focused 15-class Vietnamese dish source with strong prepared-dish fit.
rawdata_my_khanh,audited_cached,FIRST_CLEAN_CORE,yes,unverified_private_only,cached_to_kaggle_dataset,0.85,convert_segments;license_verify;source_weight_cap,Strong Mekong and Vietnamese prepared-dish coverage from Drive OAuth audit.
food_items,audited_cached,FIRST_CLEAN_CORE,yes,cc_by_4_or_manifest_claim,cached_to_kaggle_dataset,0.70,convert_segments;dedupe_tray_scenes;source_weight_cap,Best multi-object meal-tray source with rice soup proteins vegetables and side dishes in the same image.
canteen_menu,audited_cached,FIRST_CLEAN_CORE,yes,cc_by_4,cached_to_kaggle_dataset,0.70,convert_segments;drop_empty_labels;source_weight_cap,Small controllable canteen or home-meal source with useful Vietnamese meal components.
food_prethesis,audited_cached,FIRST_CLEAN_CORE_FILTERED,yes,unverified_private_only,cached_to_kaggle_dataset,0.70,strict_class_whitelist;drop_generic_nonfood;dedupe_label_rows;class_caps,Large Vietnamese dish backbone but noisy broad classes require strict filtering before clean merge.
vietnamese_food_calories,audited_cached,TAIL_BOOSTER,yes,cc_by_4_or_manifest_claim,cached_to_kaggle_dataset,0.45,convert_segments;reject_text_person_heavy;source_weight_cap,Useful Vietnamese tail classes such as com tam thit kho tau and traditional cakes.
banh_dan_gian_nb,audited_cached,TAIL_BOOSTER,yes,unverified_private_only,cached_to_kaggle_dataset,0.35,keep_missing_tail_classes;source_weight_cap;license_verify,Focused traditional Vietnamese cake and dessert source with relevant samples.
khoa_food_jfsxy,audited_cached,TAIL_BOOSTER,yes,cc_by_4,cached_to_kaggle_dataset,0.35,drop_empty_labels;dedupe_banh_sources;source_weight_cap,Focused Vietnamese cake tail source from Roboflow phase1 audit.
vietnamese_food_5,audited_cached,BOOSTER_FILTERED,yes,cc_by_4,cached_to_kaggle_dataset,0.30,drop_person_heavy;dedupe_common_dishes;source_weight_cap,Small focused booster for pho banh mi goi cuon bun and bot chien.
vietnamese_food_nhh,audited_cached,BOOSTER_FILTERED,yes,cc_by_4,cached_to_kaggle_dataset,0.30,drop_person_heavy;dedupe_common_dishes;source_weight_cap,Focused Roboflow booster for the same common Vietnamese dish classes.
food_ai_tong_hop,audited_cached,BOOSTER_BANH_MI,yes,unverified_private_only,cached_to_kaggle_dataset,0.20,map_generic_label_to_banh_mi;dedupe_banh_mi;source_weight_cap,Clean single-class banh mi visual booster but the raw label must be remapped.
food_kcmrd,audited_cached,INGREDIENT_SUPPLEMENT_FILTERED,yes,cc_by_4_or_manifest_claim,cached_to_kaggle_dataset,0.25,ingredient_whitelist;dedupe_label_rows;source_weight_cap,Useful ingredient protein and vegetable supplement after strict mapped-class filtering.
food_ingredients_v1,audited_cached,INGREDIENT_SUPPLEMENT_FILTERED,yes,cc_by_4,cached_to_kaggle_dataset,0.20,ingredient_whitelist;reject_low_fit_labels;source_weight_cap,Small raw ingredient supplement from Roboflow phase1 audit.
mon_chung,audited_cached,MEAL_COMPONENT_SUPPLEMENT,yes,cc_by_4,cached_to_kaggle_dataset,0.30,drop_empty_labels;convert_segments;keep_component_classes;source_weight_cap,Vietnamese meal components such as rice fried egg dipping sauce pork rib cucumber and tomato.
