source_slug,zip_name,audit_run,source_state,clean_tier,license_state,image_count,class_count,audit_decision,quality_notes,required_filters,next_action
rawdata_my_khanh,RawData.v12i.yolov11.zip,oauth_full23_v11,cached_audited,core_candidate,unverified,7142,50,ACCEPT_FILTERED,Strong Mekong/Vietnamese dish coverage in sample grid; no empty labels or duplicate rows found. OAuth Drive v11 cached to private Kaggle raw-audit cache. Audit warning: Segmentation rows require bbox conversion.,convert_segment_rows_to_bbox; keep Vietnamese food classes only; verify exact license/page before public release,"manual sample-grid review, class mapping, then include/cherry-pick according to clean_tier"
food_prethesis,Food.v6i.yolov11.zip,oauth_full23_v11,cached_audited,core_filtered_candidate,unverified,45434,68,ACCEPT_FILTERED,Large Vietnamese/broad food source; sample grid shows some generic/non-target classes and duplicate label rows. OAuth Drive v11 cached to private Kaggle raw-audit cache. Audit warning: Duplicate label rows require cleanup.,drop generic/non-food classes; dedupe exact label rows; cap per-class overrepresented classes,"manual sample-grid review, class mapping, then include/cherry-pick according to clean_tier"
food_detection_bobotnhan,Food-Detection-bobotnhan.v7i.yolov11.zip,oauth_full23_v11,cached_audited,core_filtered_candidate,unverified,11722,32,ACCEPT_FILTERED,Useful Vietnamese dish coverage; only 10 segmentation rows but several tiny boxes. OAuth Drive v11 cached to private Kaggle raw-audit cache. Audit warning: Segmentation rows require bbox conversion.,convert_segment_rows_to_bbox; drop tiny boxes,"manual sample-grid review, class mapping, then include/cherry-pick according to clean_tier"
food_ai_tong_hop,Food_AI_Tong_Hop.v1-banh_mi.yolov11.zip,oauth_full23_v11,cached_audited,core_booster,unverified,806,1,ACCEPT_FILTERED,Focused banh_mi booster with clean audit stats. OAuth Drive v11 cached to private Kaggle raw-audit cache. Audit warning: Audit clean; sample grid/manual review still required before full accept.,dedupe against vietnamese_food_5 and food_prethesis; cap contribution,"manual sample-grid review, class mapping, then include/cherry-pick according to clean_tier"
vietnamese_food_5,03_vietnamese_food_5.zip,oauth_full23_v11,cached_audited,core_booster,unverified,1000,5,ACCEPT_FILTERED,Focused Vietnamese class source; sample grid matches target cuisine. OAuth Drive v11 cached to private Kaggle raw-audit cache. Audit warning: Audit clean; sample grid/manual review still required before full accept.,dedupe against food_ai_tong_hop and food_prethesis; keep only mapped classes,"manual sample-grid review, class mapping, then include/cherry-pick according to clean_tier"
canteen_menu,canteen_menu.v4i.yolov11.zip,oauth_full23_v11,cached_audited,meal_scene_candidate,unverified,3369,9,ACCEPT_FILTERED,Relevant canteen/home-meal plates; audit has many empty labels and segmentation rows. OAuth Drive v11 cached to private Kaggle raw-audit cache. Audit warning: Segmentation rows require bbox conversion.,convert_segment_rows_to_bbox; drop empty labels; keep stable plate/meal classes only,"manual sample-grid review, class mapping, then include/cherry-pick according to clean_tier"
vietnamese_food_calories,vietnamese-food-calories.v1i.yolov11.zip,oauth_full23_v11,cached_audited,tail_candidate,cc_by_4_or_manifest_claim,1342,14,ACCEPT_FILTERED,Vietnamese tail classes visible; small but useful if labels map cleanly. OAuth Drive v11 cached to private Kaggle raw-audit cache. Audit warning: Segmentation rows require bbox conversion.,convert_segment_rows_to_bbox; reject calorie/portion-like labels if present; cap tail classes,"manual sample-grid review, class mapping, then include/cherry-pick according to clean_tier"
banh_dan_gian_nb,banh-dan-gian-nb.v1i.yolov11.zip,oauth_full23_v11,cached_audited,tail_candidate,unverified,757,17,ACCEPT_FILTERED,Focused Vietnamese traditional cake source; low image count but sample grid is relevant. OAuth Drive v11 cached to private Kaggle raw-audit cache. Audit warning: Audit clean; sample grid/manual review still required before full accept.,keep only missing tail classes; cap weight; verify exact source/license,"manual sample-grid review, class mapping, then include/cherry-pick according to clean_tier"
banh_dan_gian_mien_tay,Banh dan gian mien Tay.v5i.yolov11.zip,oauth_full23_v11,cached_audited,tail_candidate,unverified,1112,12,ACCEPT_FILTERED,Relevant western-Vietnam cake/market scenes but boxes are crowded in samples. OAuth Drive v11 cached to private Kaggle raw-audit cache. Audit warning: Segmentation rows require bbox conversion.,convert_segment_rows_to_bbox; cap crowded scenes; keep only missing tail classes,"manual sample-grid review, class mapping, then include/cherry-pick according to clean_tier"
food_items,Food Items.v11i.yolov11.zip,oauth_full23_v11,cached_audited,meal_scene_cherry_pick,cc_by_4_or_manifest_claim,2983,48,ACCEPT_FILTERED,"Canteen tray/home meal images are relevant, but segmentation-only source needs conversion. OAuth Drive v11 cached to private Kaggle raw-audit cache. Audit warning: Segmentation rows require bbox conversion.",convert_segment_rows_to_bbox; keep mapped classes only; cap duplicated tray scenes,"manual sample-grid review, class mapping, then include/cherry-pick according to clean_tier"
