rank,source_slug,origin,source_ref,url,stage,tier,lane,score,license,project_type,images,class_count,vietnamese_class_hits,vietnamese_class_ratio,ingredient_class_hits,ingredient_class_ratio,exports,metadata_status,matched_queries,why_top_tier,risks_or_filters,next_action
1,food_prethesis,drive+roboflow,roboflow:prethesis-avz0w/food-4otph,https://universe.roboflow.com/prethesis-avz0w/food-4otph,raw_audited_cached_oauth_full23,TOP_TIER_AUDIT,BACKBONE_AUDIT,165.0,CC BY 4.0,object-detection,45434,68,43,0.63,32,0.47,coco;yolov11;yolov8,oauth_full23_audit,vietnamese food object detection images>500;vietnam food object detection images>500;class:banh_mi object detection;class:com_tam object detection,Large Vietnamese dish backbone with ingredient/material classes and current OAuth cache. OAuth Drive v11 audit/cache is complete.,"Contains human/generic/noisy classes and duplicate label rows; requires whitelist, dedupe, and class caps. Audit warning: Duplicate label rows require cleanup.",Manual sample-grid review and class mapping; then include/cherry-pick according to lane.
2,food_data_truongvo,drive+roboflow,roboflow:truongvo/food-data-e2kl5-vqaqp,https://universe.roboflow.com/truongvo/food-data-e2kl5-vqaqp,raw_audited_cached_large_source,TOP_TIER_AUDIT,BACKBONE_AUDIT,,CC BY 4.0,object-detection,8205,30,28,0.93,3,0.10,yolov11;yolov5pytorch,enriched,large_source_v8_roboflow,"Strong Vietnamese dish backbone with 30 classes, high Vietnamese-class ratio, clean audit counts, and private Kaggle raw-cache copy.",Manual sample-grid review and class mapping are still required before clean merge; use Roboflow export/cache path rather than oversized Drive zip.,"Promote as core candidate after class mapping, sample-grid approval, and source weight caps."
3,detection_15_vietnamese_food_v2,roboflow_api,roboflow:aiapplication-gzusw/detection_15_vietnamese_food_v2,https://universe.roboflow.com/aiapplication-gzusw/detection_15_vietnamese_food_v2,raw_audited_cached_roboflow_phase1,TOP_TIER_AUDIT,BACKBONE_AUDIT,139.12,CC BY 4.0,object-detection,3036,15,15,1.00,6,0.40,yolov11;yolov5pytorch,enriched,large_source_v12_roboflow_phase1,"Focused Vietnamese dish source with moderate class count. Roboflow phase1 v12 audit/cache is complete: 3036 images, 4264 boxes, 15 classes.",Manual sample-grid review and class mapping still required before clean merge.,"Promote as core candidate after class mapping, sample-grid approval, and source weight caps."
4,mon_chung,roboflow_api,roboflow:foodai-aditx/mon-chung-cqbt6,https://universe.roboflow.com/foodai-aditx/mon-chung-cqbt6,raw_audited_cached_roboflow_phase2,TOP_TIER_FILTERED,MEAL_COMPONENT_SUPPLEMENT,126.19,CC BY 4.0,object-detection,2966,6,6,1.00,4,0.67,yolov8,enriched,large_source_v14_roboflow_phase2,"Useful Vietnamese meal-component source: com, trung_op_la, suon, dua_leo, ca_chua, and nuoc_cham. Roboflow phase2 v14 audit/cache is complete: 2966 images, 2504 boxes, 6 classes.",566 empty labels and 594 segment rows; sample grid is more component/ingredient oriented than full multi-object plates.,"Use as meal-component supplement after empty-label drop, segment conversion, sample-grid approval, and class caps."
5,rawdata_my_khanh,drive,drive:rawdata_my_khanh,https://universe.roboflow.com/search?q=like%3Anhandangmonan%2Fbanh-nhan-gian,raw_audited_cached_oauth_full23,TOP_TIER_FILTERED,BACKBONE_AUDIT,,unresolved,object-detection,7142,50,,,,,,oauth_full23_audit,oauth_full23_v11,Strong Mekong/Vietnamese dish coverage in sample grid and current OAuth cache. OAuth Drive v11 audit/cache is complete.,Exact public project/license still unresolved; has segmentation rows requiring bbox conversion. Audit warning: Segmentation rows require bbox conversion.,Manual sample-grid review and class mapping; then include/cherry-pick according to lane.
6,canteen_menu,drive,roboflow:nhanbeo/canteen_menu,https://universe.roboflow.com/nhanbeo/canteen_menu,raw_audited_cached_oauth_full23,TOP_TIER_FILTERED,BACKBONE_AUDIT,,CC BY 4.0,object-detection,3369,9,,,,,yolov11;yolov8;yolov8-obb,oauth_full23_audit,manual_api_check,Relevant Vietnamese/home-canteen meal scenes with small controllable class count. OAuth Drive v11 audit/cache is complete.,Many empty labels and segmentation rows in the OAuth v11 audit. Audit warning: Segmentation rows require bbox conversion.,Manual sample-grid review and class mapping; then include/cherry-pick according to lane.
7,food_items,drive+roboflow,roboflow:foodrecognitionprethesis/food-items-j9iud,https://universe.roboflow.com/foodrecognitionprethesis/food-items-j9iud,raw_audited_cached_oauth_full23,TOP_TIER_FILTERED,BACKBONE_AUDIT,,CC BY 4.0,object-detection,2983,48,,,,,voc;yolo26;yolov11;yolov5pytorch;yolov8;yolov9,oauth_full23_audit,manual_api_check,Canteen tray/home meal source; sample grid shows multi-item tray scenes relevant to EatFitAI. OAuth Drive v11 audit/cache is complete.,Segmentation-only/mixed labels require conversion; possible repeated tray scenes. Audit warning: Segmentation rows require bbox conversion.,Manual sample-grid review and class mapping; then include/cherry-pick according to lane.
8,vietnamese_food_calories,drive+roboflow,roboflow:toby-b9kw2/vietnamese-food-calories-suwt6,https://universe.roboflow.com/toby-b9kw2/vietnamese-food-calories-suwt6,raw_audited_cached_oauth_full23,TOP_TIER_AUDIT,BACKBONE_AUDIT,116.97,CC BY 4.0,object-detection,1342,14,12,0.80,3,0.20,coco;yolov11;yolov8,oauth_full23_audit,class:banh object detection;class:com_tam object detection,"Useful Vietnamese tail classes such as banh_beo, banh_khot, com_tam, thit_kho_tau. OAuth Drive v11 audit/cache is complete.",Has background class and possible nutrition/calorie naming risk from old review. Audit warning: Segmentation rows require bbox conversion.,Manual sample-grid review and class mapping; then include/cherry-pick according to lane.
9,khoa_food_jfsxy,roboflow_api,roboflow:khoa-fbrvv/food-jfsxy,https://universe.roboflow.com/khoa-fbrvv/food-jfsxy,raw_audited_cached_roboflow_phase1,TOP_TIER_AUDIT,TAIL_BOOSTER,114.32,CC BY 4.0,object-detection,997,10,10,1.00,0,0.00,tensorflow;yolov11,enriched,large_source_v12_roboflow_phase1,"Focused Vietnamese cake/tail classes with very high Vietnamese ratio. Roboflow phase1 v12 audit/cache is complete: 997 images, 1472 boxes, 10 classes.",Has 32 empty labels and overlaps other banh-heavy datasets.,"Use as tail booster after sample-grid approval, empty-label drop, and dedupe."
10,food_detection_bobotnhan,drive+roboflow,roboflow:fooddetection-3q4jo/food-detection-bobotnhan,https://universe.roboflow.com/fooddetection-3q4jo/food-detection-bobotnhan,raw_audited_cached_oauth_full23,TOP_TIER_FILTERED,BACKBONE_AUDIT,,CC BY 4.0,object-detection,11722,32,,,,,coco;yolov11;yolov8,oauth_full23_audit,manual_api_check,Vietnamese/general meal classes and useful v4 sample grid. OAuth Drive v11 audit/cache is complete.,Tiny boxes and segment rows still need cleanup. Audit warning: Segmentation rows require bbox conversion.,Manual sample-grid review and class mapping; then include/cherry-pick according to lane.
