source_slug,audit_state,clean_lane,include_in_default_clean,license_lane,cache_state,source_weight_cap,required_filters,reason
100_vietnamese_food,audited,VIETNAMESE_DISH_EXPANSION,no,apache-2.0,kaggle_v4_source_audit,0.00,classification_single_dish_audit,PRIORITY_AUDIT
vnfood_30_100,audited,VIETNAMESE_DISH_EXPANSION,no,CC-BY-NC-SA-4.0,kaggle_v4_source_audit,0.00,classification_single_dish_audit,PRIORITY_AUDIT_PRIVATE_ONLY
vnfood_combined_dataset,audited,VIETNAMESE_CLASS_DISCOVERY,no,CC-BY-NC-SA-4.0,kaggle_v4_source_audit,0.00,label_and_image_provenance_audit,HOLD_ADAPTER_REQUIRED
vietnamese_foods,audited,VIETNAMESE_BACKBONE_DUP_CHECK,no,CC-BY-NC-SA-4.0,kaggle_v4_source_audit,0.00,overlap_and_gap_audit,HOLD_DUPLICATE_CHECK
food_recognition_2022_dataset,audited,REAL_WORLD_MULTI_FOOD,yes,CC0-1.0,kaggle_v4_source_audit,0.60,annotation_format_and_mapping_audit,PRIORITY_AUDIT
food_recognition_2022,audited,REAL_WORLD_MULTI_FOOD,no,unknown,kaggle_v4_source_audit,0.00,annotation_format_and_mapping_audit,HOLD_LICENSE_OR_DUPLICATE
foodseg103,audited,INGREDIENT_COMPONENT_SEGMENTATION,yes,apache-2.0,kaggle_v4_source_audit,0.60,mask_to_bbox_audit,PRIORITY_AUDIT
nutrition_dataset_yolo,audited,NUTRITION_YOLO_BOOSTER,no,MIT,kaggle_v4_source_audit,0.00,yolo_source_audit,AUDIT_DIRECT_YOLO
fruits_by_yolo_fruits_detection,audited,FRUIT_COMPONENT_BOOSTER,no,CC-BY-4.0,kaggle_v4_source_audit,0.00,yolo_source_audit,AUDIT_IF_FRUIT_TARGETED
nepali_food_image_dataset,audited,OVERLAP_ONLY,no,CC0-1.0,kaggle_v4_source_audit,0.00,class_overlap_audit,HOLD_OVERLAP_ONLY
junk_food_object_detection_dataset_yolo_format,audited,JUNK_FOOD_OVERLAP,no,MIT,kaggle_v4_source_audit,0.00,yolo_source_audit,HOLD_OVERLAP_ONLY
food41,audited,GLOBAL_CLASSIFICATION_REFERENCE,no,unknown,kaggle_v4_source_audit,0.00,classification_single_dish_audit,HOLD_CLASSIFICATION_ONLY
chinesefoodnet,audited,ASIAN_CLASSIFICATION_REFERENCE,no,unknown,kaggle_v4_source_audit,0.00,classification_single_dish_audit,HOLD_LICENSE_AND_SIZE
padangfood,audited,SEA_CLASSIFICATION_REFERENCE,no,unknown,kaggle_v4_source_audit,0.00,classification_single_dish_audit,HOLD_OVERLAP_ONLY
foodydudy,audited,THAI_OR_SEA_REFERENCE,no,unknown,kaggle_v4_source_audit,0.00,metadata_and_structure_audit,HOLD_FORMAT_VERIFY
uecfood256,missing_mount,RESEARCH_REFERENCE,no,unknown,kaggle_v4_source_audit,0.00,license_review,HOLD_LICENSE
food_recognition_benchmark_2022_aicrowd_dataset,missing_mount,RESEARCH_REFERENCE,no,unknown,kaggle_v4_source_audit,0.00,license_review,HOLD_LICENSE
indian_food_image_dataset,skipped_by_decision,NON_VIETNAMESE_DISH,no,copyright-authors,kaggle_v4_source_audit,0.00,none,REJECT_LICENSE
lvis_fruits_and_vegetables_dataset,audited,FRUIT_VEGETABLE_DETECTION,yes,MIT,kaggle_v4_source_audit,0.60,yolo_source_audit,PRIORITY_AUDIT
segfood_dataset_for_semantic_food_segmentation,audited,FOOD_SEGMENTATION_REFERENCE,no,CC-BY-4.0,kaggle_v4_source_audit,0.00,segmentation_metadata_audit,PRIORITY_AUDIT
fruit_recognition_and_calories_estimation,audited,FRUIT_CLASSIFICATION_REFERENCE,no,CC-BY-4.0,kaggle_v4_source_audit,0.00,classification_single_object_audit,AUDIT_CLASSIFICATION_SINGLE_FRUIT
food_image_dataset,audited,GLOBAL_FOOD_DUPLICATE_REFERENCE,no,apache-2.0,kaggle_v4_source_audit,0.00,duplicate_and_annotation_audit,HOLD_DUPLICATE_ADAPTER_REQUIRED
vietnamese_foods_dataset,audited,VIETNAMESE_CLASSIFICATION_REFERENCE,no,unknown,kaggle_v4_source_audit,0.00,license_and_structure_audit,HOLD_LICENSE
vietnaemese_food_dataset,audited,VIETNAMESE_CLASSIFICATION_REFERENCE,no,unknown,kaggle_v4_source_audit,0.00,license_and_structure_audit,HOLD_LICENSE
food_segmentation,audited,PIZZA_SEGMENTATION_PRIVATE,no,CC-BY-NC-ND-4.0,kaggle_v4_source_audit,0.00,license_review,HOLD_NONCOMMERCIAL_NODERIVATIVE
tray_food_segmentation,skipped_by_decision,TRAY_SEGMENTATION_REFERENCE,no,copyright-authors,kaggle_v4_source_audit,0.00,none,REJECT_LICENSE
