source_slug,source_ref,dataset_ref,source_format,audit_mode,audit_state,clean_lane,include_in_default_clean,license_lane,cache_state,source_weight_cap,required_filters,reason
100_vietnamese_food,karos2504/100-vietnamese-food,karos2504/100-vietnamese-food,classification_imagefolder,classification_imagefolder,audited,VIETNAMESE_DISH_EXPANSION,no,apache-2.0,kaggle_v4_source_audit,0.00,classification_single_dish_audit,PRIORITY_AUDIT
vnfood_30_100,meowluvmatcha/vnfood-30-100,meowluvmatcha/vnfood-30-100,classification_imagefolder,classification_imagefolder,audited,VIETNAMESE_DISH_EXPANSION,no,CC-BY-NC-SA-4.0,kaggle_v4_source_audit,0.00,classification_single_dish_audit,PRIORITY_AUDIT_PRIVATE_ONLY
vnfood_combined_dataset,phantrihieu/vnfood-combined-dataset,phantrihieu/vnfood-combined-dataset,vqa_image_pool,annotation_or_file_pool,audited,VIETNAMESE_CLASS_DISCOVERY,no,CC-BY-NC-SA-4.0,kaggle_v4_source_audit,0.00,label_and_image_provenance_audit,HOLD_ADAPTER_REQUIRED
vietnamese_foods,quandang/vietnamese-foods,quandang/vietnamese-foods,classification_imagefolder,classification_imagefolder,audited,VIETNAMESE_BACKBONE_DUP_CHECK,no,CC-BY-NC-SA-4.0,kaggle_v4_source_audit,0.00,overlap_and_gap_audit,HOLD_DUPLICATE_CHECK
food_recognition_2022_dataset,awsaf49/food-recognition-2022-dataset,awsaf49/food-recognition-2022-dataset,real_world_food_images_or_annotations,annotation_or_file_pool,audited,REAL_WORLD_MULTI_FOOD,yes,CC0-1.0,kaggle_v4_source_audit,0.60,annotation_format_and_mapping_audit,PRIORITY_AUDIT
food_recognition_2022,sainikhileshreddy/food-recognition-2022,sainikhileshreddy/food-recognition-2022,real_world_food_images_or_annotations,annotation_or_file_pool,audited,REAL_WORLD_MULTI_FOOD,no,unknown,kaggle_v4_source_audit,0.00,annotation_format_and_mapping_audit,HOLD_LICENSE_OR_DUPLICATE
foodseg103,fontainenathan/foodseg103,fontainenathan/foodseg103,semantic_segmentation,semantic_segmentation_mask_to_bbox_audit,audited,INGREDIENT_COMPONENT_SEGMENTATION,yes,apache-2.0,kaggle_v4_source_audit,0.60,mask_to_bbox_audit,PRIORITY_AUDIT
nutrition_dataset_yolo,mochamadfaisalakbar/nutrition-dataset-yolo,mochamadfaisalakbar/nutrition-dataset-yolo,yolo_detection,yolo_detection,audited,NUTRITION_YOLO_BOOSTER,no,MIT,kaggle_v4_source_audit,0.00,yolo_source_audit,AUDIT_DIRECT_YOLO
fruits_by_yolo_fruits_detection,kapturovalexander/fruits-by-yolo-fruits-detection,kapturovalexander/fruits-by-yolo-fruits-detection,yolo_detection,annotation_or_file_pool,audited,FRUIT_COMPONENT_BOOSTER,no,CC-BY-4.0,kaggle_v4_source_audit,0.00,yolo_source_audit,AUDIT_IF_FRUIT_TARGETED
nepali_food_image_dataset,rajeevpaudel1/nepali-food-image-dataset,rajeevpaudel1/nepali-food-image-dataset,object_detection,annotation_or_file_pool,audited,OVERLAP_ONLY,no,CC0-1.0,kaggle_v4_source_audit,0.00,class_overlap_audit,HOLD_OVERLAP_ONLY
junk_food_object_detection_dataset_yolo_format,youssefahmed003/junk-food-object-detection-dataset-yolo-format,youssefahmed003/junk-food-object-detection-dataset-yolo-format,yolo_detection,yolo_detection,audited,JUNK_FOOD_OVERLAP,no,MIT,kaggle_v4_source_audit,0.00,yolo_source_audit,HOLD_OVERLAP_ONLY
food41,kmader/food41,kmader/food41,classification_imagefolder,classification_imagefolder,audited,GLOBAL_CLASSIFICATION_REFERENCE,no,unknown,kaggle_v4_source_audit,0.00,classification_single_dish_audit,HOLD_CLASSIFICATION_ONLY
chinesefoodnet,yihfeng/chinesefoodnet,yihfeng/chinesefoodnet,classification_imagefolder,classification_imagefolder,audited,ASIAN_CLASSIFICATION_REFERENCE,no,unknown,kaggle_v4_source_audit,0.00,classification_single_dish_audit,HOLD_LICENSE_AND_SIZE
padangfood,faldoae/padangfood,faldoae/padangfood,classification_imagefolder,classification_imagefolder,audited,SEA_CLASSIFICATION_REFERENCE,no,unknown,kaggle_v4_source_audit,0.00,classification_single_dish_audit,HOLD_OVERLAP_ONLY
foodydudy,somboonthamgemmy/foodydudy,somboonthamgemmy/foodydudy,classification_or_unknown,classification_imagefolder,audited,THAI_OR_SEA_REFERENCE,no,unknown,kaggle_v4_source_audit,0.00,metadata_and_structure_audit,HOLD_FORMAT_VERIFY
food_recognition_benchmark_2022_aicrowd_dataset,dschettler8845/food-recognition-benchmark-2022-aicrowd-dataset,dschettler8845/food-recognition-benchmark-2022-aicrowd-dataset,benchmark_reference,none,missing_mount,RESEARCH_REFERENCE,no,unknown,kaggle_v4_source_audit,0.00,license_review,HOLD_LICENSE
indian_food_image_dataset,dataclusterlabs/indian-food-image-dataset,dataclusterlabs/indian-food-image-dataset,classification_imagefolder,none,skipped_by_decision,NON_VIETNAMESE_DISH,no,copyright-authors,kaggle_v4_source_audit,0.00,none,REJECT_LICENSE
lvis_fruits_and_vegetables_dataset,henningheyen/lvis-fruits-and-vegetables-dataset,henningheyen/lvis-fruits-and-vegetables-dataset,yolo_detection,yolo_detection,audited,FRUIT_VEGETABLE_DETECTION,yes,MIT,kaggle_v4_source_audit,0.60,yolo_source_audit,PRIORITY_AUDIT
segfood_dataset_for_semantic_food_segmentation,shashwatwork/segfood-dataset-for-semantic-food-segmentation,shashwatwork/segfood-dataset-for-semantic-food-segmentation,semantic_segmentation,semantic_segmentation_pending_mask_to_bbox,audited,FOOD_SEGMENTATION_REFERENCE,no,CC-BY-4.0,kaggle_v4_source_audit,0.00,segmentation_metadata_audit,PRIORITY_AUDIT
fruit_recognition_and_calories_estimation,warcoder/fruit-recognition-and-calories-estimation,warcoder/fruit-recognition-and-calories-estimation,classification_imagefolder,classification_imagefolder,audited,FRUIT_CLASSIFICATION_REFERENCE,no,CC-BY-4.0,kaggle_v4_source_audit,0.00,classification_single_object_audit,AUDIT_CLASSIFICATION_SINGLE_FRUIT
food_image_dataset,shanemarvinmay/food-image-dataset,shanemarvinmay/food-image-dataset,classification_or_annotation_pool,classification_imagefolder,audited,GLOBAL_FOOD_DUPLICATE_REFERENCE,no,apache-2.0,kaggle_v4_source_audit,0.00,duplicate_and_annotation_audit,HOLD_DUPLICATE_ADAPTER_REQUIRED
vietnamese_foods_dataset,nguyentrongdai/vietnamese-foods-dataset,nguyentrongdai/vietnamese-foods-dataset,classification_imagefolder,classification_imagefolder,audited,VIETNAMESE_CLASSIFICATION_REFERENCE,no,unknown,kaggle_v4_source_audit,0.00,license_and_structure_audit,HOLD_LICENSE
vietnaemese_food_dataset,keno31/vietnaemese-food-dataset,keno31/vietnaemese-food-dataset,classification_imagefolder,classification_imagefolder,audited,VIETNAMESE_CLASSIFICATION_REFERENCE,no,unknown,kaggle_v4_source_audit,0.00,license_and_structure_audit,HOLD_LICENSE
food_segmentation,trainingdatapro/food-segmentation,trainingdatapro/food-segmentation,semantic_segmentation,semantic_segmentation_pending_mask_to_bbox,audited,PIZZA_SEGMENTATION_PRIVATE,no,CC-BY-NC-ND-4.0,kaggle_v4_source_audit,0.00,license_review,HOLD_NONCOMMERCIAL_NODERIVATIVE
tray_food_segmentation,thezaza102/tray-food-segmentation,thezaza102/tray-food-segmentation,semantic_segmentation,none,skipped_by_decision,TRAY_SEGMENTATION_REFERENCE,no,copyright-authors,kaggle_v4_source_audit,0.00,none,REJECT_LICENSE
vietfood68,thomasnguyen6868/vietfood68,thomasnguyen6868/vietfood68,yolo_detection,yolo_detection,audited,VIETNAMESE_DISH_EXPANSION,no,CC-BY-NC-SA-4.0,kaggle_v4_source_audit,0.00,yolo_source_audit,PRIORITY_AUDIT_PRIVATE_ONLY
foodlensvn,kyoru4444/foodlensvn,kyoru4444/foodlensvn,vqa_image_pool,annotation_or_file_pool,audited,VIETNAMESE_VQA_SAMPLE_DISCOVERY,no,MIT,kaggle_v4_source_audit,0.00,vqa_dish_label_audit,HOLD_PROVENANCE_SAMPLE_ONLY
foodlensvn,phvngtngtm/foodlensvn,phvngtngtm/foodlensvn,vqa_image_pool,annotation_or_file_pool,audited,VIETNAMESE_VQA_SAMPLE_DISCOVERY,no,CC-BY-SA-4.0,kaggle_v4_source_audit,0.00,vqa_dish_label_audit,HOLD_PROVENANCE_SAMPLE_ONLY
vietnamese_food,trungquncao/vietnamese-food,trungquncao/vietnamese-food,classification_imagefolder,classification_imagefolder,audited,VIETNAMESE_CLASSIFICATION_TINY,no,MIT,kaggle_v4_source_audit,0.00,classification_single_dish_audit,AUDIT_TINY_REFERENCE
vietnamese_food,lenguyentrung/vietnamese-food,lenguyentrung/vietnamese-food,classification_imagefolder,classification_imagefolder,audited,VIETNAMESE_CLASSIFICATION_REFERENCE,no,unknown,kaggle_v4_source_audit,0.00,license_and_structure_audit,HOLD_LICENSE
food_classification,bjoernjostein/food-classification,bjoernjostein/food-classification,classification_csv,classification_csv,audited,GLOBAL_SINGLE_FOOD_CLASS_EXPANSION,yes,CC0-1.0,kaggle_v4_source_audit,0.60,classification_csv_quality_audit,PRIORITY_AUDIT
desi_food_dataset_annotated,raahimshah/desi-food-dataset-annotated,raahimshah/desi-food-dataset-annotated,yolo_detection,yolo_detection,audited,SOUTH_ASIAN_DISH_DETECTION,yes,MIT,kaggle_v4_source_audit,0.60,yolo_source_audit,PRIORITY_AUDIT
popular_street_foods,nikolasgegenava/popular-street-foods,nikolasgegenava/popular-street-foods,classification_imagefolder,classification_imagefolder,audited,GLOBAL_STREET_FOOD_EXPANSION,no,MIT,kaggle_v4_source_audit,0.00,classification_quality_and_resolution_audit,PRIORITY_AUDIT
cnfood_241,zachaluza/cnfood-241,zachaluza/cnfood-241,classification_imagefolder,classification_imagefolder,audited,ASIAN_DISH_LONGTAIL_PRIVATE,no,CC-BY-NC-3.0,kaggle_v4_source_audit,0.00,classification_private_quality_audit,PRIORITY_AUDIT_PRIVATE_ONLY
uecfood256,rkuo2000/uecfood256,rkuo2000/uecfood256,uecfood256_bbox,uecfood_bbox_metadata,audited,JAPANESE_DISH_BBOX_REFERENCE,no,unknown,kaggle_v4_source_audit,0.00,license_and_bbox_metadata_audit,HOLD_LICENSE
16_famous_chinese_dishes,patzer0/16-famous-chinese-dishes,patzer0/16-famous-chinese-dishes,yolo_detection,annotation_or_file_pool,audited,CHINESE_DISH_DETECTION_REFERENCE,no,apache-2.0,kaggle_v4_source_audit,0.00,yolo_source_audit,HOLD_LICENSE_REVIEW
